assetUid,sourceProfileId,sellerDisplayName,assetClass,category,subcategory,title,brand,marketReferenceBrands,price,totalAmount,mediaStatus,coverFile
v35-seed-p040-asset-001,P040,Seoul Device Shop,physical_goods,consumer_electronics,mobile_devices,Seoul Device Seed Renewed Smartphone Lot,Seoul Device Seed,Apple|Samsung|Xiaomi|Google Pixel,220 USDT,35,pending_verified_license_source,
v35-seed-p040-asset-002,P040,Seoul Device Shop,physical_goods,consumer_electronics,mobile_devices,Seoul Device Seed Tablet Retail Demo Bundle,Seoul Device Seed,Apple|Samsung|Xiaomi|Google Pixel,310 USDT,20,pending_verified_license_source,
v35-seed-p040-asset-003,P040,Seoul Device Shop,agent_services,agent_services,procurement_agent,Seoul Device Seed Procurement Agent Research Pack,Seoul Device Seed,,89 USDT,12,pending_verified_license_source,
v35-seed-p041-asset-001,P041,Shenzhen Device Shop,physical_goods,consumer_electronics,mobile_devices,Shenzhen Device Seed Renewed Smartphone Lot,Shenzhen Device Seed,Apple|Samsung|Xiaomi|Google Pixel,226.60 USDT,36,pending_verified_license_source,
v35-seed-p041-asset-002,P041,Shenzhen Device Shop,physical_goods,consumer_electronics,mobile_devices,Shenzhen Device Seed Tablet Retail Demo Bundle,Shenzhen Device Seed,Apple|Samsung|Xiaomi|Google Pixel,319.30 USDT,21,pending_verified_license_source,
v35-seed-p041-asset-003,P041,Shenzhen Device Shop,service_rights,service_rights,logistics_services,Shenzhen Device Seed Sourcing and Inspection Service Pass,Shenzhen Device Seed,,123.60 USDT,21,pending_verified_license_source,
v35-seed-p042-asset-001,P042,Tokyo Device Shop,physical_goods,consumer_electronics,mobile_devices,Tokyo Device Seed Renewed Smartphone Lot,Tokyo Device Seed,Apple|Samsung|Xiaomi|Google Pixel,233.20 USDT,37,pending_verified_license_source,
v35-seed-p042-asset-002,P042,Tokyo Device Shop,physical_goods,consumer_electronics,mobile_devices,Tokyo Device Seed Tablet Retail Demo Bundle,Tokyo Device Seed,Apple|Samsung|Xiaomi|Google Pixel,328.60 USDT,22,pending_verified_license_source,
v35-seed-p042-asset-003,P042,Tokyo Device Shop,agent_services,agent_services,procurement_agent,Tokyo Device Seed Procurement Agent Research Pack,Tokyo Device Seed,,94.34 USDT,14,pending_verified_license_source,
v35-seed-p043-asset-001,P043,Singapore Device Shop,physical_goods,consumer_electronics,mobile_devices,Singapore Device Seed Renewed Smartphone Lot,Singapore Device Seed,Apple|Samsung|Xiaomi|Google Pixel,239.80 USDT,38,pending_verified_license_source,
v35-seed-p043-asset-002,P043,Singapore Device Shop,physical_goods,consumer_electronics,mobile_devices,Singapore Device Seed Tablet Retail Demo Bundle,Singapore Device Seed,Apple|Samsung|Xiaomi|Google Pixel,337.90 USDT,23,pending_verified_license_source,
v35-seed-p043-asset-003,P043,Singapore Device Shop,service_rights,service_rights,logistics_services,Singapore Device Seed Sourcing and Inspection Service Pass,Singapore Device Seed,,130.80 USDT,23,pending_verified_license_source,
v35-seed-p044-asset-001,P044,Taipei Device Shop,physical_goods,consumer_electronics,mobile_devices,Taipei Device Seed Renewed Smartphone Lot,Taipei Device Seed,Apple|Samsung|Xiaomi|Google Pixel,220 USDT,39,pending_verified_license_source,
v35-seed-p044-asset-002,P044,Taipei Device Shop,physical_goods,consumer_electronics,mobile_devices,Taipei Device Seed Tablet Retail Demo Bundle,Taipei Device Seed,Apple|Samsung|Xiaomi|Google Pixel,310 USDT,24,pending_verified_license_source,
v35-seed-p044-asset-003,P044,Taipei Device Shop,agent_services,agent_services,procurement_agent,Taipei Device Seed Procurement Agent Research Pack,Taipei Device Seed,,89 USDT,16,pending_verified_license_source,
v35-seed-p045-asset-001,P045,Dubai Device Shop,physical_goods,consumer_electronics,mobile_devices,Dubai Device Seed Renewed Smartphone Lot,Dubai Device Seed,Apple|Samsung|Xiaomi|Google Pixel,226.60 USDT,35,pending_verified_license_source,
v35-seed-p045-asset-002,P045,Dubai Device Shop,physical_goods,consumer_electronics,mobile_devices,Dubai Device Seed Tablet Retail Demo Bundle,Dubai Device Seed,Apple|Samsung|Xiaomi|Google Pixel,319.30 USDT,20,pending_verified_license_source,
v35-seed-p045-asset-003,P045,Dubai Device Shop,service_rights,service_rights,logistics_services,Dubai Device Seed Sourcing and Inspection Service Pass,Dubai Device Seed,,123.60 USDT,20,pending_verified_license_source,
v35-seed-p046-asset-001,P046,London Device Shop,physical_goods,consumer_electronics,mobile_devices,London Device Seed Renewed Smartphone Lot,London Device Seed,Apple|Samsung|Xiaomi|Google Pixel,233.20 USDT,36,pending_verified_license_source,
v35-seed-p046-asset-002,P046,London Device Shop,physical_goods,consumer_electronics,mobile_devices,London Device Seed Tablet Retail Demo Bundle,London Device Seed,Apple|Samsung|Xiaomi|Google Pixel,328.60 USDT,21,pending_verified_license_source,
v35-seed-p046-asset-003,P046,London Device Shop,agent_services,agent_services,procurement_agent,London Device Seed Procurement Agent Research Pack,London Device Seed,,94.34 USDT,13,pending_verified_license_source,
v35-seed-p047-asset-001,P047,New York Device Shop,physical_goods,consumer_electronics,mobile_devices,New York Device Seed Renewed Smartphone Lot,New York Device Seed,Apple|Samsung|Xiaomi|Google Pixel,239.80 USDT,37,pending_verified_license_source,
v35-seed-p047-asset-002,P047,New York Device Shop,physical_goods,consumer_electronics,mobile_devices,New York Device Seed Tablet Retail Demo Bundle,New York Device Seed,Apple|Samsung|Xiaomi|Google Pixel,337.90 USDT,22,pending_verified_license_source,
v35-seed-p047-asset-003,P047,New York Device Shop,service_rights,service_rights,logistics_services,New York Device Seed Sourcing and Inspection Service Pass,New York Device Seed,,130.80 USDT,22,pending_verified_license_source,
v35-seed-p048-asset-001,P048,Berlin Device Shop,physical_goods,consumer_electronics,mobile_devices,Berlin Device Seed Renewed Smartphone Lot,Berlin Device Seed,Apple|Samsung|Xiaomi|Google Pixel,220 USDT,38,pending_verified_license_source,
v35-seed-p048-asset-002,P048,Berlin Device Shop,physical_goods,consumer_electronics,mobile_devices,Berlin Device Seed Tablet Retail Demo Bundle,Berlin Device Seed,Apple|Samsung|Xiaomi|Google Pixel,310 USDT,23,pending_verified_license_source,
v35-seed-p048-asset-003,P048,Berlin Device Shop,agent_services,agent_services,procurement_agent,Berlin Device Seed Procurement Agent Research Pack,Berlin Device Seed,,89 USDT,15,pending_verified_license_source,
v35-seed-p049-asset-001,P049,Bangalore Device Shop,physical_goods,consumer_electronics,mobile_devices,Bangalore Device Seed Renewed Smartphone Lot,Bangalore Device Seed,Apple|Samsung|Xiaomi|Google Pixel,226.60 USDT,39,pending_verified_license_source,
v35-seed-p049-asset-002,P049,Bangalore Device Shop,physical_goods,consumer_electronics,mobile_devices,Bangalore Device Seed Tablet Retail Demo Bundle,Bangalore Device Seed,Apple|Samsung|Xiaomi|Google Pixel,319.30 USDT,24,pending_verified_license_source,
v35-seed-p049-asset-003,P049,Bangalore Device Shop,service_rights,service_rights,logistics_services,Bangalore Device Seed Sourcing and Inspection Service Pass,Bangalore Device Seed,,123.60 USDT,24,pending_verified_license_source,
v35-seed-p050-asset-001,P050,Bangkok Device Shop,physical_goods,consumer_electronics,mobile_devices,Bangkok Device Seed Renewed Smartphone Lot,Bangkok Device Seed,Apple|Samsung|Xiaomi|Google Pixel,233.20 USDT,35,pending_verified_license_source,
v35-seed-p050-asset-002,P050,Bangkok Device Shop,physical_goods,consumer_electronics,mobile_devices,Bangkok Device Seed Tablet Retail Demo Bundle,Bangkok Device Seed,Apple|Samsung|Xiaomi|Google Pixel,328.60 USDT,20,pending_verified_license_source,
v35-seed-p050-asset-003,P050,Bangkok Device Shop,agent_services,agent_services,procurement_agent,Bangkok Device Seed Procurement Agent Research Pack,Bangkok Device Seed,,94.34 USDT,12,pending_verified_license_source,
v35-seed-p051-asset-001,P051,Sao Paulo Device Shop,physical_goods,consumer_electronics,mobile_devices,Sao Paulo Device Seed Renewed Smartphone Lot,Sao Paulo Device Seed,Apple|Samsung|Xiaomi|Google Pixel,239.80 USDT,36,pending_verified_license_source,
v35-seed-p051-asset-002,P051,Sao Paulo Device Shop,physical_goods,consumer_electronics,mobile_devices,Sao Paulo Device Seed Tablet Retail Demo Bundle,Sao Paulo Device Seed,Apple|Samsung|Xiaomi|Google Pixel,337.90 USDT,21,pending_verified_license_source,
v35-seed-p051-asset-003,P051,Sao Paulo Device Shop,service_rights,service_rights,logistics_services,Sao Paulo Device Seed Sourcing and Inspection Service Pass,Sao Paulo Device Seed,,130.80 USDT,21,pending_verified_license_source,
v35-seed-p052-asset-001,P052,Mexico City Device Shop,physical_goods,consumer_electronics,mobile_devices,Mexico City Device Seed Renewed Smartphone Lot,Mexico City Device Seed,Apple|Samsung|Xiaomi|Google Pixel,220 USDT,37,pending_verified_license_source,
v35-seed-p052-asset-002,P052,Mexico City Device Shop,physical_goods,consumer_electronics,mobile_devices,Mexico City Device Seed Tablet Retail Demo Bundle,Mexico City Device Seed,Apple|Samsung|Xiaomi|Google Pixel,310 USDT,22,pending_verified_license_source,
v35-seed-p052-asset-003,P052,Mexico City Device Shop,agent_services,agent_services,procurement_agent,Mexico City Device Seed Procurement Agent Research Pack,Mexico City Device Seed,,89 USDT,14,pending_verified_license_source,
v35-seed-p053-asset-001,P053,Rotterdam Tool Supply,physical_goods,industrial_supply,tools_equipment,Rotterdam Tool Seed Cordless Drill Workshop Kit,Rotterdam Tool Seed,Bosch|Makita|DeWalt|Milwaukee,149.35 USDT,31,pending_verified_license_source,
v35-seed-p053-asset-002,P053,Rotterdam Tool Supply,physical_goods,industrial_supply,tools_equipment,Rotterdam Tool Seed Precision Hand Tool Set,Rotterdam Tool Seed,Bosch|Makita|DeWalt|Milwaukee,80.34 USDT,43,pending_verified_license_source,
v35-seed-p053-asset-003,P053,Rotterdam Tool Supply,service_rights,service_rights,logistics_services,Rotterdam Tool Seed Sourcing and Inspection Service Pass,Rotterdam Tool Seed,,123.60 USDT,23,pending_verified_license_source,
v35-seed-p054-asset-001,P054,Hamburg Tool Supply,physical_goods,industrial_supply,tools_equipment,Hamburg Tool Seed Cordless Drill Workshop Kit,Hamburg Tool Seed,Bosch|Makita|DeWalt|Milwaukee,153.70 USDT,32,pending_verified_license_source,
v35-seed-p054-asset-002,P054,Hamburg Tool Supply,physical_goods,industrial_supply,tools_equipment,Hamburg Tool Seed Precision Hand Tool Set,Hamburg Tool Seed,Bosch|Makita|DeWalt|Milwaukee,82.68 USDT,44,pending_verified_license_source,
v35-seed-p054-asset-003,P054,Hamburg Tool Supply,agent_services,agent_services,procurement_agent,Hamburg Tool Seed Procurement Agent Research Pack,Hamburg Tool Seed,,94.34 USDT,16,pending_verified_license_source,
v35-seed-p055-asset-001,P055,Houston Tool Supply,physical_goods,industrial_supply,tools_equipment,Houston Tool Seed Cordless Drill Workshop Kit,Houston Tool Seed,Bosch|Makita|DeWalt|Milwaukee,158.05 USDT,28,pending_verified_license_source,
v35-seed-p055-asset-002,P055,Houston Tool Supply,physical_goods,industrial_supply,tools_equipment,Houston Tool Seed Precision Hand Tool Set,Houston Tool Seed,Bosch|Makita|DeWalt|Milwaukee,85.02 USDT,40,pending_verified_license_source,
v35-seed-p055-asset-003,P055,Houston Tool Supply,service_rights,service_rights,logistics_services,Houston Tool Seed Sourcing and Inspection Service Pass,Houston Tool Seed,,130.80 USDT,20,pending_verified_license_source,
v35-seed-p056-asset-001,P056,Chicago Tool Supply,physical_goods,industrial_supply,tools_equipment,Chicago Tool Seed Cordless Drill Workshop Kit,Chicago Tool Seed,Bosch|Makita|DeWalt|Milwaukee,145 USDT,29,pending_verified_license_source,
v35-seed-p056-asset-002,P056,Chicago Tool Supply,physical_goods,industrial_supply,tools_equipment,Chicago Tool Seed Precision Hand Tool Set,Chicago Tool Seed,Bosch|Makita|DeWalt|Milwaukee,78 USDT,41,pending_verified_license_source,
v35-seed-p056-asset-003,P056,Chicago Tool Supply,agent_services,agent_services,procurement_agent,Chicago Tool Seed Procurement Agent Research Pack,Chicago Tool Seed,,89 USDT,13,pending_verified_license_source,
v35-seed-p057-asset-001,P057,Dubai Tool Supply,physical_goods,industrial_supply,tools_equipment,Dubai Tool Seed Cordless Drill Workshop Kit,Dubai Tool Seed,Bosch|Makita|DeWalt|Milwaukee,149.35 USDT,30,pending_verified_license_source,
v35-seed-p057-asset-002,P057,Dubai Tool Supply,physical_goods,industrial_supply,tools_equipment,Dubai Tool Seed Precision Hand Tool Set,Dubai Tool Seed,Bosch|Makita|DeWalt|Milwaukee,80.34 USDT,42,pending_verified_license_source,
v35-seed-p057-asset-003,P057,Dubai Tool Supply,service_rights,service_rights,logistics_services,Dubai Tool Seed Sourcing and Inspection Service Pass,Dubai Tool Seed,,123.60 USDT,22,pending_verified_license_source,
v35-seed-p058-asset-001,P058,Singapore Tool Supply,physical_goods,industrial_supply,tools_equipment,Singapore Tool Seed Cordless Drill Workshop Kit,Singapore Tool Seed,Bosch|Makita|DeWalt|Milwaukee,153.70 USDT,31,pending_verified_license_source,
v35-seed-p058-asset-002,P058,Singapore Tool Supply,physical_goods,industrial_supply,tools_equipment,Singapore Tool Seed Precision Hand Tool Set,Singapore Tool Seed,Bosch|Makita|DeWalt|Milwaukee,82.68 USDT,43,pending_verified_license_source,
v35-seed-p058-asset-003,P058,Singapore Tool Supply,agent_services,agent_services,procurement_agent,Singapore Tool Seed Procurement Agent Research Pack,Singapore Tool Seed,,94.34 USDT,15,pending_verified_license_source,
v35-seed-p059-asset-001,P059,Shanghai Tool Supply,physical_goods,industrial_supply,tools_equipment,Shanghai Tool Seed Cordless Drill Workshop Kit,Shanghai Tool Seed,Bosch|Makita|DeWalt|Milwaukee,158.05 USDT,32,pending_verified_license_source,
v35-seed-p059-asset-002,P059,Shanghai Tool Supply,physical_goods,industrial_supply,tools_equipment,Shanghai Tool Seed Precision Hand Tool Set,Shanghai Tool Seed,Bosch|Makita|DeWalt|Milwaukee,85.02 USDT,44,pending_verified_license_source,
v35-seed-p059-asset-003,P059,Shanghai Tool Supply,service_rights,service_rights,logistics_services,Shanghai Tool Seed Sourcing and Inspection Service Pass,Shanghai Tool Seed,,130.80 USDT,24,pending_verified_license_source,
v35-seed-p060-asset-001,P060,Ho Chi Minh Tool Supply,physical_goods,industrial_supply,tools_equipment,Ho Chi Minh Tool Seed Cordless Drill Workshop Kit,Ho Chi Minh Tool Seed,Bosch|Makita|DeWalt|Milwaukee,145 USDT,28,pending_verified_license_source,
v35-seed-p060-asset-002,P060,Ho Chi Minh Tool Supply,physical_goods,industrial_supply,tools_equipment,Ho Chi Minh Tool Seed Precision Hand Tool Set,Ho Chi Minh Tool Seed,Bosch|Makita|DeWalt|Milwaukee,78 USDT,40,pending_verified_license_source,
v35-seed-p060-asset-003,P060,Ho Chi Minh Tool Supply,agent_services,agent_services,procurement_agent,Ho Chi Minh Tool Seed Procurement Agent Research Pack,Ho Chi Minh Tool Seed,,89 USDT,12,pending_verified_license_source,
v35-seed-p061-asset-001,P061,Bangkok Tool Supply,physical_goods,industrial_supply,tools_equipment,Bangkok Tool Seed Cordless Drill Workshop Kit,Bangkok Tool Seed,Bosch|Makita|DeWalt|Milwaukee,149.35 USDT,29,pending_verified_license_source,
v35-seed-p061-asset-002,P061,Bangkok Tool Supply,physical_goods,industrial_supply,tools_equipment,Bangkok Tool Seed Precision Hand Tool Set,Bangkok Tool Seed,Bosch|Makita|DeWalt|Milwaukee,80.34 USDT,41,pending_verified_license_source,
v35-seed-p061-asset-003,P061,Bangkok Tool Supply,service_rights,service_rights,logistics_services,Bangkok Tool Seed Sourcing and Inspection Service Pass,Bangkok Tool Seed,,123.60 USDT,21,pending_verified_license_source,
v35-seed-p062-asset-001,P062,Mumbai Tool Supply,physical_goods,industrial_supply,tools_equipment,Mumbai Tool Seed Cordless Drill Workshop Kit,Mumbai Tool Seed,Bosch|Makita|DeWalt|Milwaukee,153.70 USDT,30,pending_verified_license_source,
v35-seed-p062-asset-002,P062,Mumbai Tool Supply,physical_goods,industrial_supply,tools_equipment,Mumbai Tool Seed Precision Hand Tool Set,Mumbai Tool Seed,Bosch|Makita|DeWalt|Milwaukee,82.68 USDT,42,pending_verified_license_source,
v35-seed-p062-asset-003,P062,Mumbai Tool Supply,agent_services,agent_services,procurement_agent,Mumbai Tool Seed Procurement Agent Research Pack,Mumbai Tool Seed,,94.34 USDT,14,pending_verified_license_source,
v35-seed-p063-asset-001,P063,Istanbul Tool Supply,physical_goods,industrial_supply,tools_equipment,Istanbul Tool Seed Cordless Drill Workshop Kit,Istanbul Tool Seed,Bosch|Makita|DeWalt|Milwaukee,158.05 USDT,31,pending_verified_license_source,
v35-seed-p063-asset-002,P063,Istanbul Tool Supply,physical_goods,industrial_supply,tools_equipment,Istanbul Tool Seed Precision Hand Tool Set,Istanbul Tool Seed,Bosch|Makita|DeWalt|Milwaukee,85.02 USDT,43,pending_verified_license_source,
v35-seed-p063-asset-003,P063,Istanbul Tool Supply,service_rights,service_rights,logistics_services,Istanbul Tool Seed Sourcing and Inspection Service Pass,Istanbul Tool Seed,,130.80 USDT,23,pending_verified_license_source,
v35-seed-p064-asset-001,P064,Sao Paulo Tool Supply,physical_goods,industrial_supply,tools_equipment,Sao Paulo Tool Seed Cordless Drill Workshop Kit,Sao Paulo Tool Seed,Bosch|Makita|DeWalt|Milwaukee,145 USDT,32,pending_verified_license_source,
v35-seed-p064-asset-002,P064,Sao Paulo Tool Supply,physical_goods,industrial_supply,tools_equipment,Sao Paulo Tool Seed Precision Hand Tool Set,Sao Paulo Tool Seed,Bosch|Makita|DeWalt|Milwaukee,78 USDT,44,pending_verified_license_source,
v35-seed-p064-asset-003,P064,Sao Paulo Tool Supply,agent_services,agent_services,procurement_agent,Sao Paulo Tool Seed Procurement Agent Research Pack,Sao Paulo Tool Seed,,89 USDT,16,pending_verified_license_source,
v35-seed-p065-asset-001,P065,Detroit Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Detroit Motor Parts Seed Engine Filter Service Pack,Detroit Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,37.08 USDT,50,pending_verified_license_source,
v35-seed-p065-asset-002,P065,Detroit Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Detroit Motor Parts Seed Brake Maintenance Component Kit,Detroit Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,97.85 USDT,32,pending_verified_license_source,
v35-seed-p065-asset-003,P065,Detroit Motor Parts Shop,service_rights,service_rights,logistics_services,Detroit Motor Parts Seed Sourcing and Inspection Service Pass,Detroit Motor Parts Seed,,123.60 USDT,20,pending_verified_license_source,
v35-seed-p066-asset-001,P066,Stuttgart Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Stuttgart Motor Parts Seed Engine Filter Service Pack,Stuttgart Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,38.16 USDT,51,pending_verified_license_source,
v35-seed-p066-asset-002,P066,Stuttgart Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Stuttgart Motor Parts Seed Brake Maintenance Component Kit,Stuttgart Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,100.70 USDT,33,pending_verified_license_source,
v35-seed-p066-asset-003,P066,Stuttgart Motor Parts Shop,agent_services,agent_services,procurement_agent,Stuttgart Motor Parts Seed Procurement Agent Research Pack,Stuttgart Motor Parts Seed,,94.34 USDT,13,pending_verified_license_source,
v35-seed-p067-asset-001,P067,Nagoya Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Nagoya Motor Parts Seed Engine Filter Service Pack,Nagoya Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,39.24 USDT,52,pending_verified_license_source,
v35-seed-p067-asset-002,P067,Nagoya Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Nagoya Motor Parts Seed Brake Maintenance Component Kit,Nagoya Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,103.55 USDT,34,pending_verified_license_source,
v35-seed-p067-asset-003,P067,Nagoya Motor Parts Shop,service_rights,service_rights,logistics_services,Nagoya Motor Parts Seed Sourcing and Inspection Service Pass,Nagoya Motor Parts Seed,,130.80 USDT,22,pending_verified_license_source,
v35-seed-p068-asset-001,P068,Turin Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Turin Motor Parts Seed Engine Filter Service Pack,Turin Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,36 USDT,53,pending_verified_license_source,
v35-seed-p068-asset-002,P068,Turin Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Turin Motor Parts Seed Brake Maintenance Component Kit,Turin Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,95 USDT,35,pending_verified_license_source,
v35-seed-p068-asset-003,P068,Turin Motor Parts Shop,agent_services,agent_services,procurement_agent,Turin Motor Parts Seed Procurement Agent Research Pack,Turin Motor Parts Seed,,89 USDT,15,pending_verified_license_source,
v35-seed-p069-asset-001,P069,Seoul Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Seoul Motor Parts Seed Engine Filter Service Pack,Seoul Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,37.08 USDT,54,pending_verified_license_source,
v35-seed-p069-asset-002,P069,Seoul Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Seoul Motor Parts Seed Brake Maintenance Component Kit,Seoul Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,97.85 USDT,36,pending_verified_license_source,
v35-seed-p069-asset-003,P069,Seoul Motor Parts Shop,service_rights,service_rights,logistics_services,Seoul Motor Parts Seed Sourcing and Inspection Service Pass,Seoul Motor Parts Seed,,123.60 USDT,24,pending_verified_license_source,
v35-seed-p070-asset-001,P070,Bangkok Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Bangkok Motor Parts Seed Engine Filter Service Pack,Bangkok Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,38.16 USDT,50,pending_verified_license_source,
v35-seed-p070-asset-002,P070,Bangkok Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Bangkok Motor Parts Seed Brake Maintenance Component Kit,Bangkok Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,100.70 USDT,32,pending_verified_license_source,
v35-seed-p070-asset-003,P070,Bangkok Motor Parts Shop,agent_services,agent_services,procurement_agent,Bangkok Motor Parts Seed Procurement Agent Research Pack,Bangkok Motor Parts Seed,,94.34 USDT,12,pending_verified_license_source,
v35-seed-p071-asset-001,P071,Mexico City Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Mexico City Motor Parts Seed Engine Filter Service Pack,Mexico City Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,39.24 USDT,51,pending_verified_license_source,
v35-seed-p071-asset-002,P071,Mexico City Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Mexico City Motor Parts Seed Brake Maintenance Component Kit,Mexico City Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,103.55 USDT,33,pending_verified_license_source,
v35-seed-p071-asset-003,P071,Mexico City Motor Parts Shop,service_rights,service_rights,logistics_services,Mexico City Motor Parts Seed Sourcing and Inspection Service Pass,Mexico City Motor Parts Seed,,130.80 USDT,21,pending_verified_license_source,
v35-seed-p072-asset-001,P072,Sao Paulo Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Sao Paulo Motor Parts Seed Engine Filter Service Pack,Sao Paulo Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,36 USDT,52,pending_verified_license_source,
v35-seed-p072-asset-002,P072,Sao Paulo Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Sao Paulo Motor Parts Seed Brake Maintenance Component Kit,Sao Paulo Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,95 USDT,34,pending_verified_license_source,
v35-seed-p072-asset-003,P072,Sao Paulo Motor Parts Shop,agent_services,agent_services,procurement_agent,Sao Paulo Motor Parts Seed Procurement Agent Research Pack,Sao Paulo Motor Parts Seed,,89 USDT,14,pending_verified_license_source,
v35-seed-p073-asset-001,P073,Dubai Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Dubai Motor Parts Seed Engine Filter Service Pack,Dubai Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,37.08 USDT,53,pending_verified_license_source,
v35-seed-p073-asset-002,P073,Dubai Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Dubai Motor Parts Seed Brake Maintenance Component Kit,Dubai Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,97.85 USDT,35,pending_verified_license_source,
v35-seed-p073-asset-003,P073,Dubai Motor Parts Shop,service_rights,service_rights,logistics_services,Dubai Motor Parts Seed Sourcing and Inspection Service Pass,Dubai Motor Parts Seed,,123.60 USDT,23,pending_verified_license_source,
v35-seed-p074-asset-001,P074,Istanbul Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Istanbul Motor Parts Seed Engine Filter Service Pack,Istanbul Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,38.16 USDT,54,pending_verified_license_source,
v35-seed-p074-asset-002,P074,Istanbul Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Istanbul Motor Parts Seed Brake Maintenance Component Kit,Istanbul Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,100.70 USDT,36,pending_verified_license_source,
v35-seed-p074-asset-003,P074,Istanbul Motor Parts Shop,agent_services,agent_services,procurement_agent,Istanbul Motor Parts Seed Procurement Agent Research Pack,Istanbul Motor Parts Seed,,94.34 USDT,16,pending_verified_license_source,
v35-seed-p075-asset-001,P075,Melbourne Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Melbourne Motor Parts Seed Engine Filter Service Pack,Melbourne Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,39.24 USDT,50,pending_verified_license_source,
v35-seed-p075-asset-002,P075,Melbourne Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Melbourne Motor Parts Seed Brake Maintenance Component Kit,Melbourne Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,103.55 USDT,32,pending_verified_license_source,
v35-seed-p075-asset-003,P075,Melbourne Motor Parts Shop,service_rights,service_rights,logistics_services,Melbourne Motor Parts Seed Sourcing and Inspection Service Pass,Melbourne Motor Parts Seed,,130.80 USDT,20,pending_verified_license_source,
v35-seed-p076-asset-001,P076,Johannesburg Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Johannesburg Motor Parts Seed Engine Filter Service Pack,Johannesburg Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,36 USDT,51,pending_verified_license_source,
v35-seed-p076-asset-002,P076,Johannesburg Motor Parts Shop,physical_goods,automotive_parts,engine_parts,Johannesburg Motor Parts Seed Brake Maintenance Component Kit,Johannesburg Motor Parts Seed,Bosch Automotive|Brembo|Denso|NGK,95 USDT,33,pending_verified_license_source,
v35-seed-p076-asset-003,P076,Johannesburg Motor Parts Shop,agent_services,agent_services,procurement_agent,Johannesburg Motor Parts Seed Procurement Agent Research Pack,Johannesburg Motor Parts Seed,,89 USDT,13,pending_verified_license_source,
v35-seed-p077-asset-001,P077,Shanghai Metal Supply,physical_goods,raw_materials_packaging,metals,Shanghai Metal Seed Aluminum Sheet Procurement Lot,Shanghai Metal Seed,ArcelorMittal|Rio Tinto|Alcoa|Nucor,3.91 USDT,502,pending_verified_license_source,
v35-seed-p077-asset-002,P077,Shanghai Metal Supply,physical_goods,raw_materials_packaging,metals,Shanghai Metal Seed Stainless Fastener Box,Shanghai Metal Seed,ArcelorMittal|Rio Tinto|Alcoa|Nucor,22.66 USDT,92,pending_verified_license_source,
v35-seed-p077-asset-003,P077,Shanghai Metal Supply,service_rights,service_rights,logistics_services,Shanghai Metal Seed Sourcing and Inspection Service Pass,Shanghai Metal Seed,,123.60 USDT,22,pending_verified_license_source,
